class_id,vertices,n_types,types,n_realizations,K,one_example_mu_to_lambda_per_type
10401,6,2,B2+B3,4,2q^5 + 2q^6 + 3q^7 + 2q^8 + 2q^9 + 1q^10 + 1q^11,B2: (4 0) -> (5 6) ; B3: (4 4 0) -> (0 5 6)
10402,5,2,B2+C3,9,0,B2: (10 0) -> (12 3) ; C3: (5 0 4) -> (0 3 6)
10403,6,3,B2+B3+C3,5,1q^4 + 1q^5 + 3q^6 + 2q^7 + 2q^8 + 1q^9 + 1q^10,B2: (4 0) -> (6 4) ; B3: (4 4 0) -> (0 6 4) ; C3: (6 0 4) -> (0 4 6)
10405,6,2,B2+B3,3,1q^5 + 1q^6 + 3q^7 + 3q^8 + 3q^9 + 2q^10 + 2q^11 + 1q^12 + 1q^13,B2: (4 0) -> (6 6) ; B3: (5 4 0) -> (0 6 6)
10406,5,2,B2+C3,15,0,B2: (10 1) -> (10 6) ; C3: (5 1 4) -> (0 6 4)
10407,6,2,B2+C3,2,0,B2: (4 1) -> (5 6) ; C3: (6 1 4) -> (0 6 5)
10408,5,2,B2+C3,9,0,B2: (10 1) -> (12 4) ; C3: (5 1 4) -> (0 4 6)
10409,6,3,B2+B3+C3,5,1q^4 + 2q^5 + 3q^6 + 2q^7 + 2q^8 + 1q^9 + 1q^10,B2: (4 1) -> (6 5) ; B3: (4 4 1) -> (0 6 5) ; C3: (6 1 4) -> (0 5 6)
10411,5,3,B2+B3+C3,20,1q^3 + 2q^4 + 2q^5 + 2q^6 + 1q^7 + 1q^8,B2: (10 2) -> (11 6) ; B3: (3 4 2) -> (0 5 6) ; C3: (5 2 4) -> (0 6 5)
10412,5,2,B2+C3,9,0,B2: (10 2) -> (12 5) ; C3: (5 2 4) -> (0 5 6)
10413,6,3,B2+B3+C3,5,2q^4 + 2q^5 + 3q^6 + 2q^7 + 2q^8 + 1q^9 + 1q^10,B2: (4 2) -> (6 6) ; B3: (4 4 2) -> (0 6 6) ; C3: (6 2 4) -> (0 6 6)
10414,5,2,B2+C3,9,0,B2: (10 3) -> (12 6) ; C3: (5 3 4) -> (0 6 6)
